sample_ID,date,treatment
150407-6_S1_MiFish,20150407,sample
150407-Nc_S2_MiFish,20150407,NC
150414-6_S3_MiFish,20150414,sample
150421-6_S4_MiFish,20150421,sample
150428-6_S5_MiFish,20150428,sample
150505-6_S6_MiFish,20150505,sample
150505-Nc_S7_MiFish,20150505,NC
150512-6_S8_MiFish,20150512,sample
150519-6_S9_MiFish,20150519,sample
150526-6_S10_MiFish,20150526,sample
150602-6_S11_MiFish,20150602,sample
150602-Nc_S12_MiFish,20150602,NC
150608-6_S13_MiFish,20150608,sample
150616-6_S14_MiFish,20150616,sample
150623-6_S15_MiFish,20150623,sample
150630-6_S16_MiFish,20150630,sample
150707-6_S17_MiFish,20150707,sample
150707-Nc_S18_MiFish,20150707,NC
150714-6_S19_MiFish,20150714,sample
150722-6_S20_MiFish,20150722,sample
150728-6_S21_MiFish,20150728,sample
150804-6_S22_MiFish,20150804,sample
150804-Nc_S23_MiFish,20150804,NC
150811-6_S24_MiFish,20150811,sample
150818-6_S25_MiFish,20150818,sample
150825-6_S26_MiFish,20150825,sample
150901-6_S27_MiFish,20150901,sample
150901-Nc_S28_MiFish,20150901,NC
150908-6_S29_MiFish,20150908,sample
150915-6_S30_MiFish,20150915,sample
150922-6_S31_MiFish,20150922,sample
150929-6_S32_MiFish,20150929,sample
151006-6_S33_MiFish,20151006,sample
151006-Nc_S34_MiFish,20151006,NC
151013-6_S35_MiFish,20151013,sample
151020-6_S36_MiFish,20151020,sample
151027-6_S37_MiFish,20151027,sample
151102-6_S38_MiFish,20151102,sample
151102-Nc_S39_MiFish,20151102,NC
151110-6_S40_MiFish,20151110,sample
151117-6_S41_MiFish,20151117,sample
151124-6_S42_MiFish,20151124,sample
151201-6_S43_MiFish,20151201,sample
151201-Nc_S44_MiFish,20151201,NC
151208-6_S45_MiFish,20151208,sample
151215-6_S46_MiFish,20151215,sample
151222-6_S47_MiFish,20151222,sample
151228-6_S48_MiFish,20151228,sample
160105-6_S49_MiFish,20160105,sample
160105-Nc_S50_MiFish,20160105,NC
160112-6_S51_MiFish,20160112,sample
160119-6_S52_MiFish,20160119,sample
160126-6_S53_MiFish,20160126,sample
160202-6_S54_MiFish,20160202,sample
160202-Nc_S55_MiFish,20160202,NC
160209-6_S56_MiFish,20160209,sample
160216-6_S57_MiFish,20160216,sample
160223-6_S58_MiFish,20160223,sample
160301-6_S59_MiFish,20160301,sample
160301-Nc_S60_MiFish,20160301,NC
160308-6_S61_MiFish,20160308,sample
160315-6_S62_MiFish,20160315,sample
160322-6_S63_MiFish,20160322,sample
160329-6_S64_MiFish,20160329,sample
NC-w-standard_S65_MiFish,NA,NC
NC-w-standard_S66_MiFish,NA,NC
NC-w-standard_S67_MiFish,NA,NC
NC-wo-standard_S68_MiFish,NA,NC
NC-wo-standard_S69_MiFish,NA,NC
NC-wo-standard_S70_MiFish,NA,NC
